id,sale_price,lot_area,overall_qual,overall_cond,year_built,year_remod_add,mas_vnr_area,bsmt_fin_sf1,bsmt_fin_sf2,bsmt_unf_sf,total_bsmt_sf,first_flr_sf,second_flr_sf,gr_liv_area,bedroom_abvgr,kitchen_abvgr,tot_rms_abvgrd,fireplaces,garage_cars,garage_area,wood_deck_sf,open_porch_sf,neighborhood,bldg_type,house_style,roof_style,exterior_1st,foundation,heating,central_air,electrical,sale_type,sale_condition
23,528563,26379,10,4,1980,2003,32.0,536,79,2549,3164,832,1102,1934,2,1,10,0,2,111.0,10.0,,Gilbert,1Fam,2Story,Gable,CemntBd,CBlock,GasA,Y,SBrkr,WD,Normal
24,372186,6943,10,2,1927,1983,43.0,87,4,80,171,1277,4,1281,1,1,5,0,2,469.0,27.0,,Somerst,1Fam,2Story,Gable,VinylSd,PConc,GasA,Y,SBrkr,WD,Normal
25,480124,2952,9,10,1950,1966,224.0,120,10,473,603,1278,970,2248,1,3,7,0,3,786.0,30.0,80.0,NridgHt,1Fam,SLvl,Gable,MetalSd,Slab,GasA,Y,,WD,Abnorml
26,369597,14646,7,7,1995,1954,46.0,208,182,872,1262,854,529,1383,1,2,3,1,2,409.0,28.0,39.0,NridgHt,1Fam,1Story,Gable,MetalSd,BrkTil,GasA,Y,FuseF,WD,Partial
27,265010,32868,2,6,2001,1967,76.0,4,35,343,382,636,729,1365,5,3,11,1,1,549.0,23.0,37.0,NridgHt,1Fam,1Story,Gable,VinylSd,CBlock,GasA,Y,SBrkr,WD,AdjLand
28,364088,24821,9,10,1957,2004,64.0,702,2,408,1112,1023,146,1169,2,1,6,0,2,,132.0,163.0,OldTown,1Fam,1Story,Gable,VinylSd,CBlock,GasA,Y,SBrkr,WD,Normal
29,247722,14836,4,5,1908,2002,60.0,13,2,209,224,864,65,929,4,3,7,0,2,119.0,170.0,46.0,Gilbert,1Fam,SFoyer,Gable,VinylSd,PConc,GasA,Y,SBrkr,ConLI,Normal
30,403809,10448,8,1,1972,1999,,116,118,449,683,1565,279,1844,1,1,5,1,1,698.0,39.0,88.0,NWAmes,1Fam,2Story,Gable,HdBoard,CBlock,GasA,N,SBrkr,WD,Normal
31,310667,20001,7,2,1952,1994,30.0,252,103,201,556,911,405,1316,5,3,4,1,2,,36.0,36.0,NWAmes,1Fam,1.5Fin,Hip,VinylSd,CBlock,GasA,Y,SBrkr,WD,Abnorml
32,266513,8210,7,8,1979,1962,32.0,218,30,258,506,926,42,968,5,3,9,3,2,93.0,185.0,14.0,Edwards,1Fam,2Story,Gable,VinylSd,PConc,GasA,Y,SBrkr,WD,Normal
33,369657,16952,8,1,1953,1965,31.0,318,8,43,369,1143,479,1622,4,3,7,0,2,259.0,,59.0,NWAmes,1Fam,1Story,Gable,HdBoard,BrkTil,GasA,Y,SBrkr,WD,Normal
34,222255,17201,1,3,1974,1962,1.0,224,88,3,315,898,70,968,3,2,5,1,3,405.0,34.0,128.0,CollgCr,1Fam,1Story,Hip,HdBoard,CBlock,Floor,Y,SBrkr,WD,AdjLand
35,278805,22699,5,2,1896,1969,13.0,78,19,22,119,1105,202,1307,2,3,4,0,2,86.0,125.0,92.0,Sawyer,2fmCon,1.5Fin,Gable,MetalSd,CBlock,GasA,Y,SBrkr,WD,Normal
36,243821,53094,2,5,2016,2015,8.0,67,27,85,179,763,582,1345,2,3,8,0,2,372.0,42.0,11.0,CollgCr,1Fam,1Story,Gable,VinylSd,PConc,GasA,Y,SBrkr,WD,Normal
37,208368,16255,2,4,1976,1996,108.0,713,57,243,1013,641,64,705,6,2,8,1,2,15.0,88.0,19.0,Somerst,1Fam,SLvl,Hip,VinylSd,PConc,GasA,Y,SBrkr,WD,Normal
38,180277,10358,1,7,1888,1968,16.0,91,21,8,120,682,83,765,1,2,5,1,2,126.0,491.0,36.0,Gilbert,1Fam,1Story,Gable,VinylSd,PConc,GasA,Y,SBrkr,WD,Normal
39,268874,13189,5,5,2014,1994,7.0,98,49,67,214,811,19,830,3,1,11,1,2,392.0,35.0,42.0,CollgCr,1Fam,1Story,Gable,MetalSd,CBlock,GasA,Y,SBrkr,WD,Normal
40,230197,5516,2,8,1898,1986,6.0,159,108,608,875,930,47,977,2,1,3,1,0,56.0,266.0,10.0,NWAmes,1Fam,1Story,Gable,MetalSd,PConc,GasA,Y,SBrkr,WD,Partial
41,261894,9439,4,4,2013,2003,60.0,45,79,574,698,1042,47,1089,6,3,5,0,3,87.0,38.0,13.0,Gilbert,1Fam,SLvl,Gable,MetalSd,PConc,GasA,Y,SBrkr,WD,Alloca
42,307977,10887,3,6,1993,1955,0.0,212,24,623,859,1029,68,1097,1,1,3,0,1,739.0,77.0,71.0,Sawyer,1Fam,1Story,Gable,HdBoard,Slab,GasA,Y,SBrkr,WD,Normal
43,269108,10280,3,4,2018,1963,,328,16,1018,1362,900,101,1001,3,3,9,1,3,392.0,61.0,65.0,Edwards,1Fam,1Story,Gable,VinylSd,PConc,GasA,Y,SBrkr,COD,Normal
44,233526,14417,2,2,2004,1953,6.0,462,16,50,528,651,506,1157,5,2,4,1,0,241.0,152.0,91.0,OldTown,1Fam,1Story,Gable,Wd Sdng,Slab,GasA,Y,SBrkr,WD,Normal
45,346831,8855,6,1,1940,2004,94.0,372,21,71,464,1107,742,1849,1,2,6,1,3,82.0,6.0,135.0,Edwards,1Fam,1Story,Hip,MetalSd,PConc,GasA,Y,SBrkr,WD,Normal
46,215074,23400,2,1,1921,1983,159.0,47,34,162,243,572,156,728,3,3,6,0,2,146.0,98.0,18.0,NAmes,1Fam,2Story,Gable,VinylSd,BrkTil,GasA,Y,SBrkr,WD,Normal
47,326218,13361,8,8,1892,1976,159.0,182,26,986,1194,632,41,673,4,1,10,2,2,298.0,142.0,98.0,NAmes,1Fam,2.5Unf,Gable,Wd Sdng,PConc,GasA,N,SBrkr,WD,Abnorml
48,319832,13297,8,4,2019,1956,29.0,11,7,597,615,910,76,986,2,1,6,1,1,59.0,63.0,54.0,Sawyer,1Fam,1.5Fin,Gable,VinylSd,PConc,GasA,Y,SBrkr,WD,Normal
49,294788,11339,5,5,1964,1952,51.0,5,8,156,169,1140,399,1539,1,1,5,1,2,230.0,11.0,158.0,NAmes,1Fam,1Story,Gable,VinylSd,BrkTil,GasA,Y,SBrkr,WD,Family
50,359797,14437,10,8,1899,1996,45.0,174,20,36,230,1083,339,1422,6,3,5,1,3,184.0,28.0,15.0,Somerst,1Fam,SLvl,Gable,CemntBd,PConc,GasA,Y,SBrkr,WD,Normal
51,373293,20182,7,7,1929,1951,21.0,87,41,383,511,871,1025,1896,5,1,7,0,3,226.0,113.0,15.0,BrkSide,1Fam,1Story,Gable,BrkFace,PConc,GasA,Y,SBrkr,WD,Normal
52,251191,8659,4,8,1971,1974,29.0,344,44,118,506,1026,4,1030,6,2,8,0,2,39.0,225.0,,NWAmes,1Fam,1Story,Gable,Wd Sdng,CBlock,GasA,Y,SBrkr,WD,Abnorml
53,214591,9613,1,8,1967,2009,3.0,386,33,302,721,652,416,1068,1,2,9,2,2,39.0,54.0,131.0,OldTown,1Fam,2Story,Gable,VinylSd,PConc,GasA,Y,SBrkr,WD,Normal
54,328847,11477,2,6,1948,1973,79.0,677,67,1137,1881,758,211,969,2,2,7,1,1,1164.0,82.0,87.0,BrkSide,Twnhs,1Story,Hip,MetalSd,PConc,GasW,Y,SBrkr,WD,Normal
55,488091,6816,10,10,1916,1964,13.0,428,66,340,834,762,698,1460,2,2,9,1,2,1358.0,25.0,64.0,CollgCr,1Fam,1.5Fin,Gable,VinylSd,PConc,GasA,Y,FuseA,WD,Normal
56,353526,8869,10,2,2019,1963,30.0,14,27,1029,1070,670,257,927,3,2,6,1,2,194.0,53.0,24.0,Somerst,1Fam,2Story,Gable,VinylSd,BrkTil,GasA,Y,,COD,AdjLand
57,279555,10529,4,6,1978,2003,32.0,139,6,199,344,806,177,983,6,2,7,1,1,,41.0,63.0,CollgCr,1Fam,1Story,Gable,VinylSd,PConc,GasA,Y,SBrkr,WD,Normal
58,253413,20685,1,1,2004,1955,41.0,95,37,401,533,843,328,1171,6,2,8,2,2,373.0,106.0,80.0,BrkSide,1Fam,2Story,Gable,Wd Sdng,PConc,GasA,Y,SBrkr,WD,Normal
59,347962,15233,8,1,1933,1967,85.0,146,24,897,1067,781,537,1318,5,2,11,0,2,43.0,417.0,69.0,NAmes,1Fam,2Story,Gable,BrkFace,PConc,OthW,Y,SBrkr,WD,Normal
60,315436,14717,9,3,2009,1969,58.0,52,7,354,413,831,99,930,3,2,8,0,0,123.0,167.0,56.0,NWAmes,TwnhsE,1Story,Gable,BrkFace,PConc,GasA,Y,SBrkr,WD,Normal
61,198843,20444,4,3,1920,2011,54.0,30,200,381,611,380,34,414,5,3,3,0,1,131.0,21.0,2.0,BrkSide,1Fam,1Story,Hip,BrkFace,PConc,GasA,Y,SBrkr,WD,Normal
62,383819,12472,10,5,1924,1989,37.0,220,23,503,746,1007,170,1177,1,3,9,1,2,317.0,86.0,53.0,NWAmes,1Fam,1Story,Gable,VinylSd,CBlock,GasA,Y,SBrkr,WD,Partial
63,272608,16239,3,1,1982,1988,5.0,382,49,855,1286,794,72,866,1,2,5,1,1,303.0,6.0,32.0,NAmes,1Fam,2Story,Gable,Wd Sdng,Wood,GasA,Y,SBrkr,WD,Normal
64,271563,12687,2,10,1985,2001,25.0,363,33,36,432,794,168,962,6,2,8,0,3,899.0,28.0,162.0,Edwards,2fmCon,2Story,Hip,CemntBd,PConc,GasA,Y,FuseA,WD,Normal
65,400649,15255,5,6,2016,1981,157.0,179,7,164,350,592,1414,2006,3,2,4,0,2,546.0,18.0,46.0,Somerst,1Fam,SLvl,Gable,HdBoard,CBlock,GasA,N,SBrkr,WD,AdjLand
66,328169,9982,3,7,2007,1976,270.0,221,2,202,425,1429,256,1685,4,1,9,0,1,680.0,40.0,46.0,CollgCr,Twnhs,1Story,Hip,VinylSd,CBlock,GasA,Y,SBrkr,WD,Normal
67,462078,3946,10,10,1965,2001,65.0,217,49,961,1227,1450,354,1804,2,3,3,3,3,776.0,113.0,256.0,NWAmes,1Fam,2Story,Gable,BrkFace,PConc,Wall,Y,SBrkr,WD,Normal
68,329169,12492,7,3,1926,2012,12.0,352,14,1249,1615,544,339,883,3,2,4,0,2,565.0,69.0,4.0,NWAmes,1Fam,2Story,Gable,HdBoard,PConc,GasA,Y,SBrkr,WD,Normal
69,311951,27210,6,4,1884,2012,5.0,14,13,51,78,836,515,1351,3,3,11,0,2,141.0,270.0,16.0,NWAmes,1Fam,1Story,Gable,VinylSd,PConc,GasA,Y,SBrkr,WD,Normal
70,249784,21228,1,10,1880,1966,26.0,371,157,50,578,1185,865,2050,1,2,11,2,2,84.0,23.0,53.0,Sawyer,TwnhsE,SLvl,Gable,VinylSd,BrkTil,GasW,Y,SBrkr,WD,Normal
71,353650,21648,8,10,1923,1998,97.0,261,30,1092,1383,806,322,1128,2,1,9,0,0,296.0,45.0,18.0,Gilbert,1Fam,1Story,Gable,VinylSd,CBlock,GasA,Y,SBrkr,ConLI,Normal
72,192737,24786,2,10,1917,1972,63.0,66,1,140,207,748,193,941,3,2,4,2,2,409.0,40.0,21.0,NAmes,1Fam,1.5Fin,Gable,HdBoard,PConc,GasA,Y,SBrkr,WD,Normal
73,244022,13965,5,10,1898,1962,107.0,15,20,110,145,734,114,848,1,3,7,1,2,171.0,26.0,111.0,BrkSide,1Fam,2Story,Gable,VinylSd,Wood,GasA,Y,SBrkr,WD,Normal
74,365552,14744,9,10,1994,1972,47.0,34,43,14,91,986,134,1120,1,3,6,1,2,660.0,498.0,43.0,Somerst,1Fam,2Story,Gable,MetalSd,Slab,GasA,Y,FuseA,WD,Normal
75,467957,9810,8,3,1966,2006,6.0,223,19,128,370,1967,122,2089,6,3,4,0,2,1131.0,,5.0,Sawyer,1Fam,1.5Fin,Gable,CemntBd,PConc,GasA,Y,SBrkr,ConLw,Normal
76,234522,11406,2,1,2002,2011,6.0,426,1,473,900,1150,117,1267,6,3,4,0,2,,282.0,18.0,Edwards,1Fam,SFoyer,Gable,BrkFace,CBlock,GasA,N,SBrkr,WD,Normal
77,351154,18176,9,8,1961,2003,2.0,122,29,222,373,643,355,998,3,2,10,0,3,213.0,49.0,3.0,Sawyer,Twnhs,2.5Unf,Gable,Wd Sdng,PConc,GasA,Y,SBrkr,WD,Normal
78,287341,24390,5,10,1937,1969,41.0,142,5,290,437,743,265,1008,3,1,7,1,2,647.0,22.0,40.0,Gilbert,1Fam,2Story,Gable,Wd Sdng,PConc,GasA,Y,SBrkr,WD,Abnorml
79,374609,12459,10,10,1946,2001,13.0,816,48,996,1860,828,67,895,1,1,10,1,2,8.0,12.0,9.0,NAmes,1Fam,1Story,Gable,Wd Sdng,BrkTil,GasA,Y,SBrkr,WD,Normal
80,349171,10666,6,2,2001,1972,66.0,71,48,48,167,693,1048,1741,6,2,4,0,2,48.0,193.0,97.0,NAmes,1Fam,1.5Fin,Gable,BrkFace,CBlock,GasA,Y,FuseP,WD,Normal
81,235049,13363,3,1,1966,1984,57.0,32,1,29,62,656,167,823,3,2,4,0,1,654.0,3.0,43.0,OldTown,1Fam,2Story,Gable,BrkFace,PConc,GasA,Y,,WD,Normal
82,289701,18044,3,8,2010,2016,19.0,126,17,764,907,1124,250,1374,2,3,5,2,3,460.0,333.0,3.0,NAmes,1Fam,1Story,Gable,HdBoard,PConc,Wall,Y,SBrkr,WD,AdjLand
83,367406,6490,10,7,1934,1983,9.0,411,26,596,1033,772,363,1135,1,2,10,0,3,188.0,54.0,17.0,Edwards,1Fam,SFoyer,Gable,VinylSd,BrkTil,GasA,Y,SBrkr,WD,Normal
84,353173,4238,8,7,1968,1982,5.0,295,39,122,456,1003,285,1288,1,1,10,1,2,768.0,28.0,47.0,OldTown,Duplex,2Story,Hip,MetalSd,CBlock,GasA,Y,SBrkr,WD,Normal
85,396353,10144,10,4,1937,1995,66.0,161,17,156,334,1532,111,1643,3,2,5,1,3,151.0,96.0,20.0,NridgHt,1Fam,1Story,Gable,HdBoard,PConc,GasA,Y,SBrkr,WD,Normal
86,414725,7256,10,9,1942,1994,29.0,1003,16,148,1167,767,479,1246,3,2,3,0,2,351.0,14.0,35.0,NWAmes,1Fam,1Story,Hip,BrkFace,PConc,GasA,Y,SBrkr,WD,Normal
87,266734,10362,2,6,1970,1968,19.0,398,203,417,1018,974,35,1009,3,1,9,0,2,352.0,7.0,120.0,NridgHt,1Fam,2.5Unf,Gable,Wd Sdng,CBlock,GasA,Y,SBrkr,WD,Normal
88,205144,12408,2,2,1931,1964,97.0,19,2,25,46,660,252,912,2,1,6,1,0,71.0,175.0,21.0,Somerst,1Fam,1Story,Gable,HdBoard,CBlock,GasA,Y,SBrkr,WD,Normal
89,286071,10650,5,1,2005,2015,45.0,409,225,268,902,1017,95,1112,1,2,5,0,2,117.0,55.0,20.0,NAmes,Twnhs,1Story,Gable,VinylSd,PConc,GasA,N,SBrkr,WD,Normal
90,355281,27618,6,1,1903,1988,36.0,7,2,57,66,1326,286,1612,4,3,7,2,2,866.0,73.0,85.0,Somerst,1Fam,2Story,Gable,MetalSd,PConc,GasA,Y,SBrkr,ConLw,Normal
91,298122,15730,2,9,1951,1967,68.0,315,17,685,1017,1305,73,1378,2,3,8,2,1,70.0,19.0,19.0,NAmes,1Fam,SLvl,Gable,MetalSd,BrkTil,GasA,Y,SBrkr,COD,Normal
92,275091,15525,5,4,1888,2019,84.0,70,34,191,295,909,443,1352,2,3,3,0,2,66.0,6.0,4.0,Gilbert,1Fam,2Story,Flat,CemntBd,PConc,GasA,Y,FuseP,WD,Normal
93,312315,18235,7,5,1989,2008,57.0,357,7,299,663,768,77,845,6,1,11,1,4,228.0,45.0,9.0,Sawyer,Twnhs,2Story,Gable,HdBoard,PConc,GasA,Y,SBrkr,WD,Normal
94,390325,7559,10,3,1973,1981,28.0,111,7,11,129,963,663,1626,1,1,8,1,2,33.0,70.0,148.0,NridgHt,TwnhsE,1Story,Gable,VinylSd,CBlock,GasA,Y,SBrkr,ConLD,Normal
95,410458,22461,10,4,1996,1970,23.0,619,14,24,657,911,593,1504,4,3,5,1,2,787.0,145.0,135.0,NAmes,1Fam,2Story,Gable,MetalSd,PConc,GasA,Y,SBrkr,WD,Normal
96,339044,12863,8,8,1962,1989,73.0,123,181,449,753,1031,135,1166,1,2,3,1,2,36.0,69.0,12.0,Sawyer,1Fam,1Story,Gable,VinylSd,CBlock,GasA,Y,SBrkr,WD,Abnorml
97,307991,18680,7,4,1959,1976,36.0,290,23,582,895,742,146,888,2,2,11,0,0,335.0,152.0,40.0,NWAmes,2fmCon,2Story,Gable,VinylSd,CBlock,GasA,Y,SBrkr,WD,Normal
98,323485,7817,8,9,1979,1951,60.0,101,41,495,637,796,362,1158,3,2,4,1,4,145.0,12.0,7.0,BrkSide,1Fam,1Story,Gable,VinylSd,PConc,GasA,Y,SBrkr,WD,Normal
99,348803,6143,9,9,1919,1988,110.0,747,60,534,1341,840,28,868,1,1,8,1,3,570.0,6.0,56.0,CollgCr,1Fam,SFoyer,Gable,CemntBd,PConc,GasA,Y,SBrkr,COD,Normal
100,282386,20109,5,6,1982,2005,123.0,455,67,44,566,1096,25,1121,1,1,8,1,2,311.0,17.0,10.0,NAmes,1Fam,1Story,Gable,CemntBd,PConc,GasA,Y,SBrkr,WD,Normal
101,274481,16126,5,2,1941,1962,16.0,83,58,472,613,1141,43,1184,3,3,5,0,1,172.0,147.0,2.0,Gilbert,1Fam,1Story,Gable,MetalSd,CBlock,GasA,Y,SBrkr,WD,Abnorml
102,446990,8509,10,10,1948,2005,10.0,891,20,80,991,788,247,1035,4,2,8,0,2,1444.0,142.0,87.0,Edwards,1Fam,1Story,Gable,MetalSd,BrkTil,GasA,N,SBrkr,WD,Abnorml
103,206000,8648,4,7,1988,2015,15.0,132,5,41,178,635,48,683,4,1,4,0,1,23.0,15.0,19.0,NridgHt,1Fam,1Story,Gable,BrkFace,CBlock,GasA,Y,SBrkr,WD,Normal
104,379372,23452,9,9,1883,2005,69.0,316,16,566,898,1001,97,1098,1,1,10,1,2,301.0,3.0,5.0,OldTown,1Fam,1Story,Gable,Wd Sdng,CBlock,OthW,Y,SBrkr,WD,Normal
105,395509,7370,5,6,1951,1977,23.0,407,11,880,1298,1118,312,1430,3,3,3,0,2,1597.0,115.0,89.0,OldTown,1Fam,1.5Fin,Gable,HdBoard,PConc,GasA,Y,SBrkr,WD,Normal
106,200297,30373,2,3,1896,2013,9.0,6,7,504,517,862,4,866,6,2,8,0,2,410.0,193.0,71.0,Sawyer,Twnhs,1Story,Gable,HdBoard,BrkTil,Wall,Y,SBrkr,WD,Normal
107,367089,8515,10,7,1993,2013,5.0,958,1,655,1614,724,59,783,1,1,3,3,2,471.0,140.0,57.0,NridgHt,1Fam,1.5Fin,Gable,MetalSd,CBlock,Grav,Y,SBrkr,New,Abnorml
108,414222,18383,8,5,1964,2005,19.0,126,137,1888,2151,777,797,1574,3,1,11,1,0,11.0,22.0,121.0,Somerst,1Fam,1Story,Gable,CemntBd,CBlock,GasA,Y,SBrkr,WD,Normal
109,342932,11335,7,1,1936,1990,7.0,63,126,57,246,1468,326,1794,2,1,11,0,2,7.0,87.0,33.0,OldTown,1Fam,1.5Fin,Gable,Wd Sdng,PConc,GasA,Y,SBrkr,WD,Normal
110,365529,18062,8,3,1986,1990,8.0,570,2,1342,1914,959,109,1068,6,1,8,1,1,12.0,141.0,6.0,NAmes,Duplex,1Story,Gable,Wd Sdng,PConc,GasA,Y,,WD,Normal
111,301001,10177,3,5,1927,1953,57.0,364,9,367,740,1216,13,1229,3,2,8,0,3,1678.0,29.0,3.0,OldTown,1Fam,SFoyer,Hip,VinylSd,Wood,GasW,Y,SBrkr,WD,Abnorml
112,313703,12315,4,7,1996,2006,0.0,27,7,671,705,705,264,969,1,3,11,0,2,1360.0,75.0,19.0,NWAmes,1Fam,2Story,Gable,CemntBd,CBlock,GasA,Y,SBrkr,WD,Normal
113,297730,13635,5,3,1910,1979,6.0,37,16,420,473,1290,75,1365,5,2,7,0,2,142.0,37.0,4.0,NAmes,1Fam,1Story,Gambrel,VinylSd,CBlock,GasA,Y,SBrkr,New,Normal
114,415835,8094,6,6,1991,1995,93.0,376,11,337,724,1174,966,2140,4,3,11,0,0,120.0,25.0,38.0,Somerst,Duplex,2Story,Gambrel,CemntBd,PConc,GasA,Y,,ConLD,Normal
115,220467,19349,1,5,1926,2005,93.0,23,145,486,654,870,348,1218,1,1,7,1,4,55.0,349.0,0.0,Edwards,Duplex,SFoyer,Gable,CemntBd,PConc,GasA,Y,SBrkr,WD,Normal
116,377875,10336,4,1,2013,1980,19.0,747,4,154,905,1077,1096,2173,3,2,6,2,2,139.0,,29.0,Gilbert,1Fam,2Story,Gable,BrkFace,BrkTil,GasA,Y,FuseF,WD,Normal
117,469873,11916,10,10,1987,1956,4.0,405,11,1032,1448,1323,566,1889,6,3,4,2,2,161.0,58.0,9.0,CollgCr,1Fam,1Story,Gable,Wd Sdng,Wood,GasA,Y,FuseP,New,Normal
118,280482,8126,5,6,1951,2003,61.0,122,4,48,174,643,197,840,6,3,4,0,1,482.0,14.0,22.0,Edwards,1Fam,2Story,Gable,Wd Sdng,CBlock,GasA,Y,SBrkr,WD,Normal
119,350252,3710,7,8,1950,1957,22.0,135,196,153,484,766,332,1098,3,1,3,1,2,704.0,130.0,56.0,NWAmes,1Fam,1.5Fin,Gable,CemntBd,CBlock,GasA,N,SBrkr,WD,Normal
120,326988,12142,5,1,1987,2004,2.0,211,125,12,348,1050,501,1551,4,3,5,0,2,480.0,29.0,21.0,Somerst,1Fam,2.5Fin,Hip,CemntBd,Wood,GasA,Y,SBrkr,WD,Normal
121,235146,44636,1,2,1932,2018,8.0,134,63,126,323,903,258,1161,1,3,3,0,4,,18.0,,Sawyer,1Fam,2Story,Hip,BrkFace,BrkTil,GasA,Y,SBrkr,WD,Normal
122,311481,19777,7,4,1895,1993,7.0,459,27,98,584,1015,19,1034,6,3,8,2,4,,48.0,234.0,CollgCr,1Fam,1Story,Hip,VinylSd,BrkTil,GasA,Y,SBrkr,WD,Normal
123,384814,13231,8,2,1995,1962,,1103,10,20,1133,1103,190,1293,6,1,9,2,2,469.0,75.0,63.0,NWAmes,1Fam,2Story,Hip,MetalSd,BrkTil,GasA,Y,SBrkr,WD,Normal
