Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Mileage,Engine,Power,Seats
Volkswagen EcoSport,2020,8.98,14.61,26732,Petrol,Individual,Manual,First,15.5,799,144.1,5
Honda XUV300,2008,2.35,13.2,89665,Petrol,Dealer,Manual,First,19.3,799,92.0,5
Honda City,2010,3.41,23.9,54407,Diesel,Individual,Manual,Third,20.8,1396,54.0,5
Hyundai Polo,2021,14.29,21.44,23017,Petrol,Dealer,Manual,First,23.1,1396,200.0,8
Honda EcoSport,2009,1.59,19.66,149528,Petrol,Dealer,Manual,First,15.3,799,150.8,5
Toyota i20,2007,2.44,14.44,42131,Diesel,Individual,Manual,Second,21.4,1598,163.3,5
Toyota City,2011,0.6,6.0,83587,Electric,Individual,Manual,First,13.5,998,102.2,5
Honda City,2021,14.35,23.89,60479,Diesel,Individual,Manual,First,21.9,998,99.3,5
Maruti City,2019,0.83,5.84,142162,Petrol,Individual,Manual,First,26.3,1197,127.3,8
Volkswagen i20,2014,1.11,6.89,84252,Petrol,Individual,Manual,Third,14.1,2184,153.6,4
Volkswagen Kwid,2019,3.13,14.26,123831,Petrol,Dealer,Automatic,Second,15.0,1997,122.7,5
Ford XUV300,2011,1.49,18.12,87838,Petrol,Individual,Manual,First,20.5,2179,160.6,5
Honda Swift,2011,1.69,4.96,52915,Petrol,Dealer,Manual,First,22.4,998,63.0,5
Hyundai City,2014,2.3,9.24,53447,Diesel,Dealer,Automatic,Second,15.8,1498,83.8,5
Hyundai XUV300,2013,1.18,4.77,9324,Electric,Dealer,Manual,Fourth & Above,25.8,1498,196.3,5
Toyota XUV300,2017,3.57,19.93,142541,LPG,Individual,Manual,Second,20.5,799,141.6,5
Honda Innova,2017,7.12,14.72,25128,Petrol,Individual,Manual,First,15.2,1997,171.5,5
Honda XUV300,2010,2.84,12.06,47078,CNG,Individual,Automatic,First,23.7,2179,80.8,5
Renault Polo,2012,3.99,21.21,63596,Petrol,Dealer,Manual,Second,22.6,2184,186.2,5
Hyundai XUV300,2018,8.43,22.79,78340,Petrol,Individual,Manual,First,26.4,1598,129.8,4
Maruti Nexon,2010,2.6,23.68,101646,Diesel,Individual,Manual,Third,19.9,1598,136.0,8
Ford Swift,2008,3.73,15.54,37265,Petrol,Individual,Manual,First,18.1,1997,140.6,5
Hyundai Innova,2016,5.68,19.98,80683,Petrol,Dealer,Manual,First,26.5,1498,84.1,5
Mahindra XUV300,2005,0.5,3.4,32306,CNG,Individual,Manual,Third,23.3,2184,165.7,5
Maruti City,2018,6.44,23.56,139869,CNG,Dealer,Manual,First,15.0,1598,188.1,7
Hyundai Kwid,2013,1.76,7.52,44224,Petrol,Dealer,Manual,First,26.7,998,119.9,5
Mahindra City,2011,2.34,6.64,24956,CNG,Dealer,Manual,Second,12.2,1396,127.3,8
Tata XUV300,2021,4.26,9.59,6759,Petrol,Individual,Manual,Third,15.3,799,55.5,5
Honda i20,2005,2.46,20.06,142717,Petrol,Individual,Manual,First,14.9,1598,191.9,5
Hyundai Nexon,2011,1.21,17.5,115904,Petrol,Dealer,Manual,First,13.7,1396,76.8,5
Maruti i20,2007,1.07,8.35,118453,Diesel,Dealer,Manual,First,16.7,998,52.0,4
Hyundai i20,2005,2.24,20.98,92955,Petrol,Individual,Manual,First,25.3,1396,111.4,5
Hyundai City,2016,1.94,6.08,24063,Electric,Individual,Manual,First,20.2,2179,131.2,5
Tata Innova,2017,5.38,18.21,79532,Petrol,Individual,Manual,First,16.4,799,110.8,5
Toyota EcoSport,2014,1.78,6.08,56226,CNG,Individual,Manual,Second,22.6,1598,136.0,6
Hyundai i20,2015,2.16,7.06,26172,Diesel,Dealer,Manual,First,17.7,799,158.2,5
Renault Nexon,2019,6.77,23.99,125900,Petrol,Dealer,Manual,First,25.5,799,124.5,5
Maruti Kwid,2012,3.75,19.02,39008,Diesel,Individual,Manual,First,13.2,1197,90.8,5
Hyundai Swift,2021,8.6,23.91,99006,Petrol,Dealer,Automatic,Second,22.2,799,148.8,5
Hyundai Magnite,2013,5.32,23.77,42641,Diesel,Individual,Manual,First,17.0,1396,159.7,5
Maruti Nexon,2011,2.86,13.01,71150,Petrol,Individual,Manual,First,13.2,1396,129.5,5
Volkswagen Innova,2017,2.69,16.77,84273,Diesel,Individual,Manual,Fourth & Above,12.0,998,190.9,6
Nissan Innova,2021,5.6,11.84,78972,Petrol,Individual,Manual,First,13.5,1598,128.4,6
Maruti i20,2008,1.27,18.74,140566,Petrol,Individual,Manual,Third,24.6,2993,138.3,8
Mahindra XUV300,2015,6.72,22.88,29262,Electric,Dealer,Automatic,Second,21.7,2184,57.0,5
Honda Nexon,2021,8.92,14.4,35448,Petrol,Dealer,Automatic,Second,14.5,1197,83.7,5
Hyundai Kwid,2008,1.81,15.76,88560,Petrol,Dealer,Manual,First,25.6,2184,171.4,5
Hyundai Polo,2012,2.52,18.31,75831,Petrol,Dealer,Manual,Second,13.2,799,59.2,7
Hyundai City,2007,1.06,10.65,76719,Diesel,Dealer,Automatic,Second,22.5,799,73.6,5
Renault Innova,2010,1.02,7.16,53874,LPG,Individual,Automatic,First,25.1,1396,161.5,5
Volkswagen Nexon,2006,1.12,9.31,80418,Electric,Individual,Manual,Second,20.6,1197,69.3,5
Tata EcoSport,2008,0.5,6.82,120953,CNG,Dealer,Automatic,Second,19.6,1498,143.1,4
Tata Innova,2007,3.78,16.08,32083,Petrol,Dealer,Manual,First,24.3,2184,50.2,5
Maruti Kwid,2011,2.41,14.59,80932,Petrol,Individual,Automatic,First,14.1,1197,192.6,5
Hyundai EcoSport,2019,5.44,12.23,53901,Diesel,Individual,Manual,First,23.6,998,82.0,4
Tata XUV300,2018,2.42,7.48,144783,Diesel,Individual,Automatic,Second,14.1,1396,186.8,8
Maruti Kwid,2018,8.31,16.16,33541,Diesel,Individual,Manual,First,13.0,1498,98.9,5
Maruti EcoSport,2018,5.81,24.44,111661,Petrol,Individual,Automatic,Second,12.6,1498,162.4,5
Maruti Polo,2005,2.7,15.31,27431,CNG,Dealer,Manual,Third,13.3,1199,103.7,5
Maruti Swift,2012,2.1,17.0,137997,Diesel,Individual,Manual,First,27.0,1997,157.1,6
Maruti Nexon,2015,8.02,22.69,16653,Diesel,Individual,Manual,First,23.7,2993,158.7,5
Honda City,2018,6.35,10.41,33380,Diesel,Individual,Manual,First,23.5,1498,99.8,5
Hyundai Magnite,2007,0.5,7.85,21309,Petrol,Dealer,Manual,Third,23.6,1997,113.8,5
Toyota Innova,2006,2.73,16.15,129677,Diesel,Individual,Manual,First,18.1,998,144.7,6
Maruti XUV300,2008,0.52,23.0,147633,Petrol,Individual,Manual,Third,19.9,1498,180.6,5
Honda Polo,2021,6.18,11.6,72649,Diesel,Dealer,Manual,First,18.3,1598,118.1,5
Maruti Magnite,2014,4.29,17.73,24816,Petrol,Dealer,Manual,Second,14.7,1199,106.9,5
Volkswagen XUV300,2016,2.25,12.82,88310,Diesel,Dealer,Manual,First,12.9,1396,190.5,4
Maruti Polo,2009,1.75,23.55,145272,Diesel,Individual,Manual,First,23.0,998,98.5,8
Hyundai Nexon,2016,5.83,14.71,44062,Petrol,Dealer,Automatic,First,22.8,998,78.3,6
Maruti Polo,2009,4.85,24.19,53320,Diesel,Individual,Manual,First,21.9,1997,179.7,6
Mahindra Swift,2020,6.29,21.19,115169,Petrol,Dealer,Manual,First,25.9,2179,180.6,6
Honda Kwid,2015,2.54,22.33,119044,Diesel,Individual,Manual,Third,26.0,1598,115.3,6
Maruti Swift,2016,3.09,16.42,105494,Diesel,Dealer,Manual,First,18.0,1498,61.0,5
Toyota Magnite,2006,1.64,13.2,112522,Petrol,Individual,Automatic,Third,25.0,2179,107.0,5
Honda Nexon,2010,3.24,19.43,83714,Petrol,Individual,Manual,Third,13.1,2179,148.2,5
Maruti Polo,2006,1.45,6.66,12151,Petrol,Individual,Automatic,First,21.3,2184,141.6,6
Maruti Nexon,2016,1.29,6.99,77588,Petrol,Dealer,Automatic,First,26.7,1199,122.5,6
Honda XUV300,2017,5.41,16.93,93204,Diesel,Individual,Automatic,First,15.4,2184,76.2,5
Honda EcoSport,2008,1.2,9.05,143299,Diesel,Individual,Automatic,First,18.8,1396,75.2,6
Tata Nexon,2021,3.81,6.93,73388,Diesel,Individual,Manual,First,18.3,2179,124.5,8
Hyundai Polo,2011,2.33,18.94,60754,Electric,Dealer,Manual,Second,21.3,1598,165.9,5
Honda Innova,2007,2.43,11.83,59624,Petrol,Dealer,Manual,First,13.1,1396,60.5,5
Toyota Magnite,2007,0.5,7.19,141321,Electric,Individual,Manual,Second,19.4,1997,137.1,4
Nissan Kwid,2020,4.48,12.01,93733,Petrol,Individual,Manual,Second,24.7,1598,109.9,5
Hyundai Polo,2012,2.17,19.62,124968,Diesel,Individual,Manual,First,13.9,1598,89.5,5
Maruti Kwid,2013,1.46,14.21,132810,Petrol,Individual,Manual,First,26.7,2993,136.2,5
Hyundai Polo,2017,3.79,11.37,50033,Diesel,Individual,Automatic,First,13.3,1396,53.4,5
Maruti Innova,2014,3.7,21.09,79520,Petrol,Dealer,Manual,First,26.4,1199,125.4,5
Maruti i20,2008,0.68,5.97,45108,Petrol,Individual,Manual,First,20.1,998,91.7,7
Maruti i20,2009,2.17,20.18,102033,Petrol,Individual,Automatic,Second,16.8,1598,85.9,5
Maruti Swift,2008,2.35,16.93,59823,Diesel,Individual,Manual,Second,20.4,1598,158.6,6
Hyundai City,2011,4.46,14.56,32605,Diesel,Individual,Automatic,First,18.7,2993,112.8,6
Maruti EcoSport,2005,1.74,10.12,64353,Petrol,Individual,Automatic,Fourth & Above,19.8,1197,89.9,5
Hyundai Nexon,2008,4.79,22.02,42487,Diesel,Individual,Manual,First,19.4,1396,193.4,5
Renault i20,2020,2.37,8.6,95353,Petrol,Individual,Manual,Second,22.5,2993,117.5,5
Mahindra Nexon,2017,2.12,6.3,35111,Electric,Individual,Manual,First,23.9,799,60.8,4
Maruti Innova,2019,5.86,23.73,130426,Petrol,Dealer,Manual,Second,24.2,2184,53.1,4
Nissan XUV300,2012,2.31,16.74,102661,Petrol,Dealer,Automatic,First,26.3,2184,169.8,5
Honda i20,2015,0.7,3.96,130200,CNG,Dealer,Manual,First,19.0,2179,74.6,5
Renault City,2018,1.53,3.28,82794,Diesel,Dealer,Automatic,First,20.7,1396,163.3,5
Ford Polo,2015,2.8,8.93,28387,Petrol,Dealer,Manual,Second,25.1,1197,72.6,5
Hyundai EcoSport,2005,3.26,14.18,13894,Petrol,Dealer,Manual,First,26.0,1396,74.0,5
Volkswagen Kwid,2014,3.14,19.33,85102,Diesel,Individual,Manual,First,20.4,2184,164.1,4
Ford Kwid,2006,1.26,19.69,122322,Diesel,Individual,Manual,First,14.0,1199,158.3,7
Hyundai XUV300,2011,1.13,3.07,97197,Petrol,Dealer,Manual,First,26.0,1197,59.7,5
Honda Innova,2006,0.61,16.19,114458,Petrol,Dealer,Manual,First,24.6,1498,81.5,6
Maruti Swift,2005,0.66,4.95,137723,Petrol,Individual,Automatic,Second,16.8,799,113.2,5
Volkswagen Polo,2019,14.78,21.48,8471,Petrol,Individual,Automatic,First,23.2,1498,91.0,5
Maruti Magnite,2009,4.35,21.52,27436,Petrol,Individual,Automatic,Second,22.1,1598,185.6,7
Volkswagen Innova,2010,0.51,4.26,22069,Diesel,Dealer,Automatic,Second,27.3,1997,58.6,5
Mahindra XUV300,2014,0.5,8.98,145905,Diesel,Dealer,Manual,Third,12.7,998,186.0,5
Hyundai Swift,2011,0.5,4.9,129302,Petrol,Individual,Automatic,First,27.0,2184,174.2,6
Nissan EcoSport,2007,3.08,18.95,127788,Diesel,Individual,Automatic,Second,17.6,2179,53.3,6
Hyundai Kwid,2011,4.42,18.04,7336,Petrol,Dealer,Automatic,Second,13.1,1498,132.3,5
Hyundai EcoSport,2006,1.45,17.61,116672,Diesel,Individual,Manual,Second,20.7,1997,168.0,5
Hyundai City,2021,3.56,7.43,68878,Diesel,Individual,Automatic,Second,12.3,1997,181.7,7
Hyundai Magnite,2021,1.85,3.6,86816,Petrol,Dealer,Manual,First,24.8,1598,148.5,6
Hyundai City,2009,2.13,24.22,138623,Petrol,Dealer,Manual,Second,16.4,1997,169.7,5
Maruti Innova,2010,3.44,20.45,42711,Diesel,Individual,Manual,Fourth & Above,14.3,799,55.0,5
Ford EcoSport,2008,2.62,20.57,129661,Diesel,Dealer,Automatic,First,27.8,1598,68.4,6
Maruti Innova,2006,1.34,7.61,37994,Petrol,Individual,Automatic,First,23.4,2179,120.7,6
Hyundai EcoSport,2006,4.48,21.02,5587,Petrol,Dealer,Automatic,Second,13.6,1396,113.0,7
Honda Nexon,2020,4.71,15.7,142488,Diesel,Individual,Automatic,Second,14.0,998,98.8,5
Maruti Nexon,2010,4.14,21.83,33795,Electric,Dealer,Manual,First,25.9,1498,104.1,4
Ford Innova,2016,1.99,8.12,103696,Diesel,Individual,Manual,Third,22.7,1598,75.4,5
Hyundai Innova,2012,1.46,5.83,17109,Petrol,Dealer,Manual,First,27.5,1498,178.8,5
Volkswagen Innova,2017,12.07,24.18,16002,Diesel,Individual,Manual,First,15.5,1396,131.1,4
Maruti Swift,2018,3.24,16.16,147312,Petrol,Individual,Manual,Third,25.6,2179,99.6,5
Maruti City,2015,4.9,24.9,100998,Diesel,Dealer,Manual,First,23.8,2179,186.4,5
Volkswagen XUV300,2005,1.35,3.55,37174,Petrol,Individual,Manual,First,17.5,1199,116.5,5
Toyota Innova,2011,2.03,5.9,35795,Petrol,Individual,Automatic,Second,23.9,799,90.3,5
Mahindra i20,2021,1.12,3.87,33933,Petrol,Dealer,Manual,Fourth & Above,17.3,799,143.4,5
Honda Polo,2021,0.5,3.17,63557,Diesel,Individual,Manual,First,19.0,2184,94.0,7
Hyundai EcoSport,2021,10.27,16.58,38623,Petrol,Individual,Manual,First,22.8,1197,117.6,7
Toyota XUV300,2012,1.06,17.76,139393,Diesel,Individual,Manual,Second,25.3,799,140.6,5
Maruti Swift,2008,2.68,11.12,39542,Petrol,Individual,Manual,First,17.7,1598,111.9,5
Honda i20,2013,2.44,16.48,65058,Diesel,Individual,Automatic,Fourth & Above,25.1,2179,113.3,5
Hyundai Magnite,2009,1.08,5.71,124006,Petrol,Individual,Manual,First,25.6,1199,150.9,5
Hyundai i20,2007,2.61,12.9,44758,Diesel,Dealer,Automatic,First,17.9,1498,155.8,5
Hyundai XUV300,2009,1.54,17.21,96703,Diesel,Individual,Manual,First,18.1,1197,101.1,4
Toyota EcoSport,2012,0.98,11.02,96575,Electric,Individual,Manual,First,19.8,1997,196.6,5
Maruti Magnite,2018,0.7,3.68,119650,Petrol,Dealer,Automatic,First,16.6,1396,175.3,5
Hyundai i20,2013,1.94,24.65,66516,Diesel,Dealer,Manual,Fourth & Above,24.4,1396,73.1,5
Hyundai Polo,2007,1.15,9.65,131060,Petrol,Dealer,Manual,First,27.5,1598,131.7,5
Maruti Swift,2007,3.42,22.37,79965,Diesel,Individual,Manual,First,12.6,799,156.6,7
Maruti EcoSport,2006,5.31,18.89,6708,Petrol,Dealer,Automatic,First,12.9,1997,91.4,7
Hyundai Polo,2008,0.98,9.29,127813,Diesel,Dealer,Manual,First,21.2,1197,184.2,5
Hyundai Innova,2011,2.45,24.03,130438,Petrol,Individual,Manual,Second,26.3,1197,96.8,5
Ford Polo,2015,5.76,22.19,24337,Petrol,Dealer,Manual,Second,16.5,1997,129.3,6
Nissan i20,2012,2.61,24.88,131439,Petrol,Dealer,Automatic,Second,23.8,1396,50.8,7
Mahindra City,2006,1.08,5.3,82064,Diesel,Dealer,Manual,First,16.9,1997,66.6,6
Renault i20,2017,11.73,24.01,27031,Diesel,Dealer,Automatic,First,19.7,998,60.9,5
Maruti XUV300,2018,1.43,6.35,106084,Diesel,Individual,Manual,First,12.5,1197,103.7,5
Maruti Swift,2014,1.46,15.89,125263,Diesel,Individual,Manual,First,15.8,1396,170.6,5
Ford i20,2016,2.88,13.93,148309,Diesel,Individual,Automatic,First,18.4,2179,50.0,5
Maruti Polo,2010,3.96,22.71,67551,Diesel,Dealer,Manual,Second,17.1,2993,174.0,5
Honda i20,2019,8.41,23.75,96218,CNG,Dealer,Automatic,First,23.0,2184,134.7,7
Tata Nexon,2014,1.3,6.06,90716,Diesel,Individual,Automatic,Second,27.2,2179,94.7,5
Maruti EcoSport,2020,5.85,11.47,71914,Petrol,Dealer,Manual,First,12.8,2179,77.9,5
Hyundai i20,2020,5.02,11.17,57389,Petrol,Individual,Manual,Second,21.7,998,109.2,7
Nissan EcoSport,2012,2.21,13.3,59336,Diesel,Dealer,Manual,First,13.8,2184,131.6,4
Toyota EcoSport,2010,1.77,10.42,144088,Petrol,Individual,Manual,First,20.5,1498,90.0,6
Hyundai Swift,2012,0.71,5.89,60243,Petrol,Dealer,Automatic,Second,13.9,1498,115.3,5
Maruti Nexon,2011,0.5,10.66,142227,Petrol,Dealer,Manual,Fourth & Above,25.6,2179,132.0,6
Maruti Innova,2012,0.87,4.45,111984,CNG,Individual,Manual,First,22.7,1199,193.7,7
Volkswagen Innova,2015,6.59,24.18,54429,Petrol,Dealer,Manual,First,22.0,2184,97.3,5
Mahindra Swift,2021,17.73,23.84,28989,Petrol,Individual,Automatic,First,14.4,1396,124.6,5
Maruti Swift,2010,3.73,14.65,52118,Petrol,Individual,Automatic,Second,26.9,998,132.0,5
Tata XUV300,2016,2.47,22.75,144883,Diesel,Individual,Automatic,Third,15.9,1498,66.3,5
Hyundai XUV300,2016,1.44,8.71,68761,Diesel,Dealer,Manual,Fourth & Above,15.0,1197,159.8,5
Renault i20,2012,1.49,6.56,144271,Diesel,Dealer,Manual,First,24.5,1199,134.8,6
Hyundai Kwid,2009,0.5,3.2,144227,CNG,Dealer,Manual,First,17.1,998,127.2,6
Hyundai Magnite,2008,1.34,9.36,45695,Electric,Individual,Manual,First,19.7,1197,108.9,6
Mahindra Swift,2011,2.93,15.7,24149,Diesel,Individual,Manual,First,18.6,799,86.1,5
Maruti Magnite,2005,1.2,6.85,48361,Diesel,Dealer,Manual,Second,21.0,1396,127.5,6
Maruti Nexon,2019,8.09,22.88,109601,Diesel,Individual,Automatic,First,20.0,1199,80.7,5
Maruti Kwid,2008,0.5,9.5,105772,Petrol,Dealer,Automatic,First,23.6,1997,102.9,6
Hyundai Swift,2017,1.6,3.83,42044,Diesel,Dealer,Manual,First,12.9,2184,80.1,5
Mahindra Polo,2019,1.71,7.2,116435,Petrol,Individual,Automatic,Second,18.8,998,184.4,6
Maruti City,2018,2.15,5.76,106754,Electric,Individual,Manual,Second,20.7,1997,149.2,4
Maruti Kwid,2021,16.19,23.95,17297,Petrol,Dealer,Automatic,Second,14.1,1396,65.4,5
Hyundai Innova,2021,5.22,23.52,127049,Diesel,Individual,Manual,Third,23.1,1598,177.6,5
Toyota EcoSport,2007,1.04,5.62,46520,Diesel,Individual,Automatic,First,18.1,1199,167.9,6
Hyundai City,2015,6.99,21.46,23919,Diesel,Individual,Automatic,First,20.9,1197,155.9,5
Maruti Polo,2012,1.51,6.94,72391,Diesel,Individual,Manual,Third,24.9,1199,143.8,5
Volkswagen Kwid,2009,0.5,4.56,132426,Diesel,Individual,Manual,First,14.6,799,132.3,5
Honda Swift,2009,3.55,19.12,5887,Diesel,Dealer,Manual,Second,17.3,998,80.8,5
Nissan Innova,2011,2.1,16.91,80277,Diesel,Individual,Manual,Fourth & Above,17.2,2184,187.2,4
Maruti Magnite,2009,4.34,24.54,67120,Diesel,Individual,Manual,First,18.4,2993,140.8,5
Ford i20,2014,2.2,18.18,95265,Diesel,Dealer,Manual,Fourth & Above,16.8,1498,154.4,5
Honda Polo,2007,2.47,11.21,6306,Diesel,Individual,Manual,First,16.3,998,179.9,7
Maruti Magnite,2019,1.61,7.69,139066,Diesel,Dealer,Manual,Second,22.9,799,52.3,5
Renault Innova,2013,4.42,21.48,17905,Diesel,Dealer,Manual,First,23.9,998,63.9,6
Mahindra Innova,2013,2.31,12.64,49816,Petrol,Individual,Automatic,First,22.5,1396,181.6,6
Maruti XUV300,2015,3.66,13.1,32586,Petrol,Individual,Manual,First,17.3,998,170.8,6
Renault XUV300,2018,7.34,11.74,5869,Diesel,Individual,Manual,First,17.9,2179,80.9,6
Mahindra EcoSport,2013,0.5,3.77,90178,Petrol,Individual,Manual,Second,18.8,1199,130.3,5
Volkswagen i20,2006,3.78,14.0,15751,Petrol,Dealer,Manual,First,12.9,1498,54.2,5
Maruti Kwid,2005,4.08,23.33,18652,Petrol,Dealer,Manual,Second,26.1,1199,116.9,6
Maruti XUV300,2014,3.09,14.78,62620,Diesel,Dealer,Automatic,Second,15.5,1598,192.9,5
Renault Swift,2021,0.53,5.26,136208,Petrol,Individual,Manual,First,24.7,1598,175.7,7
Ford Kwid,2013,1.66,6.53,6700,Petrol,Individual,Manual,First,18.9,1598,50.3,6
Maruti Swift,2021,8.14,12.11,46458,Petrol,Dealer,Manual,First,20.3,2993,86.8,4
Hyundai City,2019,8.95,19.49,59935,Diesel,Individual,Manual,First,20.7,2184,111.8,6
Hyundai Swift,2006,0.5,3.49,146871,Diesel,Dealer,Manual,First,23.1,1598,67.1,6
Toyota Magnite,2021,18.4,23.93,5192,Petrol,Individual,Manual,First,21.0,1396,83.3,6
Toyota XUV300,2005,1.6,13.23,113117,Diesel,Individual,Manual,Second,19.2,1197,173.1,5
Hyundai EcoSport,2018,5.27,11.53,47215,Petrol,Dealer,Manual,First,19.7,2179,161.5,6
Hyundai Polo,2019,2.58,8.09,84698,Petrol,Individual,Manual,Second,18.0,1199,56.8,5
Renault i20,2021,4.35,11.21,136742,Diesel,Individual,Manual,First,24.3,2184,132.2,5
Ford City,2009,1.12,7.56,24996,Petrol,Individual,Manual,First,14.5,1598,140.8,5
Ford Magnite,2009,2.14,14.92,123333,Petrol,Individual,Automatic,First,15.2,2993,77.8,5
Honda Magnite,2006,1.7,5.94,54522,Diesel,Individual,Automatic,First,23.1,1197,190.9,5
Maruti EcoSport,2018,1.3,7.81,122603,Diesel,Dealer,Automatic,Second,19.4,1598,78.2,4
Hyundai Swift,2009,2.05,8.71,85764,Diesel,Dealer,Manual,First,22.7,1498,114.3,5
Hyundai Nexon,2012,2.19,17.67,125721,Diesel,Dealer,Manual,First,13.5,1199,185.5,7
Maruti City,2019,4.83,9.69,68344,LPG,Individual,Automatic,First,12.2,1396,84.8,4
Ford i20,2021,9.63,19.77,70206,Diesel,Individual,Manual,Second,25.8,2184,108.6,4
Toyota Kwid,2020,5.64,16.13,92959,Petrol,Dealer,Manual,Second,19.5,1396,197.2,5
Volkswagen Innova,2010,3.02,16.05,19026,CNG,Individual,Manual,Third,13.8,2993,75.1,5
Honda Magnite,2005,3.41,16.99,44104,Petrol,Individual,Manual,Second,25.4,998,52.9,6
Honda XUV300,2010,0.99,14.79,139327,LPG,Individual,Manual,Second,22.3,1498,137.5,5
Maruti XUV300,2021,7.24,16.35,44350,Diesel,Individual,Manual,Third,26.2,2993,160.6,5
Volkswagen City,2009,4.58,22.74,51830,Diesel,Individual,Automatic,Second,14.0,1598,115.3,5
Maruti i20,2011,1.66,7.64,37101,CNG,Dealer,Manual,First,27.8,2179,195.2,5
Maruti XUV300,2015,3.34,10.18,30479,Petrol,Dealer,Automatic,First,17.7,1199,81.6,6
Tata XUV300,2006,3.8,21.24,50066,Diesel,Individual,Manual,First,20.1,1997,143.6,5
Hyundai Swift,2005,3.07,13.11,30566,Petrol,Individual,Manual,First,15.1,2179,136.1,5
Maruti Nexon,2011,2.11,15.38,106407,Diesel,Dealer,Manual,First,23.9,1498,175.7,5
Tata i20,2020,5.33,10.22,49739,Petrol,Individual,Automatic,Third,25.1,1498,135.2,5
Maruti Nexon,2012,2.79,11.19,8262,Diesel,Dealer,Manual,First,14.9,998,185.5,5
Honda Nexon,2012,1.76,11.17,16874,CNG,Individual,Manual,Second,21.2,1396,76.3,5
Tata Nexon,2008,0.5,3.01,15878,Diesel,Dealer,Manual,First,16.2,799,102.7,4
Hyundai i20,2017,8.11,23.78,79055,Petrol,Dealer,Automatic,First,19.5,2179,155.4,5
