Date,State,Unemployment_Rate,Employment_Rate,Labour_Participation_Rate
2019-08-31,Delhi,5.99,93.55,57.94
2019-09-30,Delhi,4.94,93.37,46.98
2019-10-31,Delhi,5.46,90.91,57.94
2019-11-30,Delhi,4.93,91.86,41.68
2019-12-31,Delhi,5.03,94.17,57.97
2020-01-31,Delhi,4.97,95.0,43.22
2020-02-29,Delhi,3.96,93.29,53.84
2020-03-31,Delhi,3.49,92.95,44.74
2020-04-30,Delhi,15.61,80.65,52.99
2020-05-31,Delhi,19.45,80.09,47.35
2020-06-30,Delhi,16.43,82.35,59.46
2020-07-31,Delhi,10.53,85.5,50.05
2020-08-31,Delhi,11.81,85.72,43.9
2020-09-30,Delhi,10.5,84.8,59.08
2020-10-31,Delhi,5.16,90.26,47.4
2020-11-30,Delhi,5.15,90.03,57.06
2020-12-31,Delhi,4.61,93.92,47.7
2021-01-31,Delhi,4.23,94.92,51.14
2021-02-28,Delhi,5.54,89.78,53.92
2021-03-31,Delhi,3.79,93.13,59.8
2021-04-30,Delhi,4.83,94.47,50.37
2021-05-31,Delhi,5.04,91.48,54.05
2021-06-30,Delhi,5.24,92.96,45.87
2021-07-31,Delhi,5.19,90.47,58.26
2021-08-31,Delhi,5.19,92.25,50.03
2021-09-30,Delhi,5.25,91.24,55.92
2021-10-31,Delhi,5.81,89.74,46.76
2021-11-30,Delhi,3.91,93.2,40.72
2021-12-31,Delhi,4.44,93.23,50.85
2022-01-31,Delhi,5.36,94.48,40.75
2022-02-28,Delhi,3.07,92.82,47.2
2022-03-31,Delhi,4.74,91.41,44.32
2022-04-30,Delhi,3.6,93.28,41.71
2022-05-31,Delhi,4.72,92.57,52.75
2022-06-30,Delhi,4.03,92.34,59.52
2022-07-31,Delhi,2.65,93.37,45.42
2022-08-31,Delhi,4.87,92.94,41.57
2022-09-30,Delhi,5.18,92.77,43.47
2022-10-31,Delhi,5.54,93.67,45.0
2022-11-30,Delhi,6.44,90.25,45.6
2022-12-31,Delhi,5.08,90.14,54.76
2019-01-31,Karnataka,6.66,92.1,47.12
2019-02-28,Karnataka,9.83,86.38,40.29
2019-03-31,Karnataka,7.75,91.76,49.83
2019-04-30,Karnataka,9.86,87.77,43.46
2019-05-31,Karnataka,5.99,90.93,52.7
2019-06-30,Karnataka,6.69,93.08,47.49
2019-07-31,Karnataka,8.05,87.67,53.17
2019-08-31,Karnataka,10.34,88.85,41.41
2019-09-30,Karnataka,7.79,89.28,58.8
2019-10-31,Karnataka,8.05,89.07,47.76
2019-11-30,Karnataka,7.37,89.9,58.83
2019-12-31,Karnataka,10.1,87.97,59.22
2020-01-31,Karnataka,7.5,90.9,56.9
2020-02-29,Karnataka,8.2,91.69,56.29
2020-03-31,Karnataka,7.37,89.15,52.58
2020-04-30,Karnataka,21.78,74.55,56.07
2020-05-31,Karnataka,18.52,77.45,59.81
2020-06-30,Karnataka,18.17,79.97,55.53
2020-07-31,Karnataka,14.91,81.32,42.06
2020-08-31,Karnataka,15.16,82.31,56.53
2020-09-30,Karnataka,13.03,86.92,58.11
2020-10-31,Karnataka,8.84,90.7,46.39
2020-11-30,Karnataka,9.9,87.86,45.86
2020-12-31,Karnataka,9.05,89.3,53.45
2021-01-31,Karnataka,8.76,87.29,41.82
2021-02-28,Karnataka,8.66,88.87,41.15
2021-03-31,Karnataka,5.9,89.66,47.02
2021-04-30,Karnataka,9.76,89.66,42.86
2021-05-31,Karnataka,8.6,90.89,41.68
2021-06-30,Karnataka,9.35,87.15,41.46
2021-07-31,Karnataka,8.55,91.04,41.7
2021-08-31,Karnataka,8.86,86.21,47.49
2021-09-30,Karnataka,9.14,86.12,59.72
2021-10-31,Karnataka,7.51,88.72,47.53
2021-11-30,Karnataka,5.95,89.52,42.22
2021-12-31,Karnataka,9.56,87.98,40.23
2022-01-31,Karnataka,7.31,92.1,42.35
2022-02-28,Karnataka,7.94,88.81,54.92
2022-03-31,Karnataka,8.48,89.64,45.71
2022-04-30,Karnataka,8.08,87.58,44.47
2022-05-31,Karnataka,8.06,86.98,41.48
2022-06-30,Karnataka,8.97,88.26,59.39
2022-07-31,Karnataka,10.26,86.26,49.09
2022-08-31,Karnataka,8.4,88.47,51.69
2022-09-30,Karnataka,7.88,89.02,45.55
2022-10-31,Karnataka,8.97,90.09,49.27
2022-11-30,Karnataka,9.02,90.59,59.49
2022-12-31,Karnataka,6.18,88.89,53.96
2019-01-31,Tamil Nadu,8.78,87.8,43.25
2019-02-28,Tamil Nadu,7.25,88.2,56.45
2019-03-31,Tamil Nadu,6.5,88.83,57.32
2019-04-30,Tamil Nadu,9.66,90.12,40.53
2019-05-31,Tamil Nadu,9.0,86.06,43.01
2019-06-30,Tamil Nadu,7.36,89.67,47.62
2019-07-31,Tamil Nadu,7.71,90.22,45.47
2019-08-31,Tamil Nadu,9.06,90.66,57.29
2019-09-30,Tamil Nadu,7.83,88.32,58.9
2019-10-31,Tamil Nadu,7.87,87.88,44.95
2019-11-30,Tamil Nadu,6.76,88.47,52.12
2019-12-31,Tamil Nadu,7.68,91.17,53.43
2020-01-31,Tamil Nadu,6.29,93.14,53.43
2020-02-29,Tamil Nadu,9.1,88.3,55.45
2020-03-31,Tamil Nadu,9.0,88.24,51.22
2020-04-30,Tamil Nadu,22.03,75.95,42.68
2020-05-31,Tamil Nadu,16.67,79.81,44.26
2020-06-30,Tamil Nadu,18.15,81.78,47.01
2020-07-31,Tamil Nadu,13.0,82.48,46.97
2020-08-31,Tamil Nadu,11.84,84.24,47.93
2020-09-30,Tamil Nadu,12.61,85.09,59.6
2020-10-31,Tamil Nadu,7.77,89.77,46.58
2020-11-30,Tamil Nadu,6.52,93.1,42.58
2020-12-31,Tamil Nadu,8.49,90.87,43.04
2021-01-31,Tamil Nadu,8.19,90.9,46.91
2021-02-28,Tamil Nadu,6.88,88.63,49.48
2021-03-31,Tamil Nadu,6.84,92.2,40.82
2021-04-30,Tamil Nadu,8.33,90.83,45.57
2021-05-31,Tamil Nadu,7.72,91.25,47.29
2021-06-30,Tamil Nadu,6.79,90.69,53.81
2021-07-31,Tamil Nadu,7.13,88.51,58.42
2021-08-31,Tamil Nadu,8.04,91.66,45.54
2021-09-30,Tamil Nadu,8.44,90.64,44.19
2021-10-31,Tamil Nadu,8.58,89.57,49.69
2021-11-30,Tamil Nadu,6.31,91.38,54.95
2021-12-31,Tamil Nadu,9.19,90.62,45.05
2022-01-31,Tamil Nadu,8.4,89.04,50.64
2022-02-28,Tamil Nadu,8.14,91.33,48.95
2022-03-31,Tamil Nadu,6.22,92.44,47.55
2022-04-30,Tamil Nadu,8.03,91.87,46.44
2022-05-31,Tamil Nadu,7.18,92.22,57.81
2022-06-30,Tamil Nadu,6.74,90.29,53.58
2022-07-31,Tamil Nadu,7.82,91.75,50.74
2022-08-31,Tamil Nadu,9.3,87.76,54.91
2022-09-30,Tamil Nadu,6.79,91.79,47.26
2022-10-31,Tamil Nadu,7.63,89.14,51.42
2022-11-30,Tamil Nadu,6.43,93.06,43.06
2022-12-31,Tamil Nadu,8.39,90.38,43.21
2019-01-31,Gujarat,3.85,91.67,41.6
2019-02-28,Gujarat,4.13,93.24,48.21
2019-03-31,Gujarat,5.07,90.6,56.34
2019-04-30,Gujarat,4.59,94.12,43.42
2019-05-31,Gujarat,5.21,92.01,51.43
2019-06-30,Gujarat,4.89,93.71,55.39
2019-07-31,Gujarat,4.11,93.76,50.15
2019-08-31,Gujarat,3.68,95.11,42.3
2019-09-30,Gujarat,3.15,93.94,43.09
2019-10-31,Gujarat,5.48,92.12,50.65
2019-11-30,Gujarat,4.53,94.8,41.27
2019-12-31,Gujarat,4.27,90.78,46.45
2020-01-31,Gujarat,4.08,92.52,55.2
2020-02-29,Gujarat,5.44,91.58,49.43
2020-03-31,Gujarat,2.91,92.44,56.61
2020-04-30,Gujarat,18.4,80.98,54.62
2020-05-31,Gujarat,19.74,76.06,42.8
2020-06-30,Gujarat,19.83,79.17,43.27
2020-07-31,Gujarat,9.88,87.51,47.18
2020-08-31,Gujarat,13.22,84.81,56.33
2020-09-30,Gujarat,9.76,88.73,54.95
2020-10-31,Gujarat,2.45,95.04,44.64
2020-11-30,Gujarat,4.44,92.84,58.13
2020-12-31,Gujarat,5.5,91.38,42.34
2021-01-31,Gujarat,4.84,93.48,42.79
2021-02-28,Gujarat,5.25,90.78,52.4
2021-03-31,Gujarat,5.65,90.41,43.03
2021-04-30,Gujarat,4.76,93.68,44.97
2021-05-31,Gujarat,6.19,89.43,46.84
2021-06-30,Gujarat,5.08,90.81,42.21
2021-07-31,Gujarat,5.97,93.28,44.59
2021-08-31,Gujarat,4.23,92.15,54.4
2021-09-30,Gujarat,6.07,91.22,45.04
2021-10-31,Gujarat,5.69,92.58,43.63
2021-11-30,Gujarat,4.85,93.15,49.24
2021-12-31,Gujarat,5.51,89.75,43.07
2022-01-31,Gujarat,4.86,92.08,40.36
2022-02-28,Gujarat,7.32,88.32,58.64
2022-03-31,Gujarat,6.46,88.93,54.14
2022-04-30,Gujarat,5.27,93.97,51.53
2022-05-31,Gujarat,3.34,92.98,58.69
2022-06-30,Gujarat,6.57,88.81,49.02
2022-07-31,Gujarat,7.22,90.79,41.1
2022-08-31,Gujarat,5.2,93.12,56.06
2022-09-30,Gujarat,5.53,89.87,46.93
2022-10-31,Gujarat,2.36,95.91,54.75
2022-11-30,Gujarat,3.18,94.56,42.82
2022-12-31,Gujarat,4.42,94.7,49.97
2019-01-31,Uttar Pradesh,6.54,90.56,52.65
2019-02-28,Uttar Pradesh,7.47,92.47,53.27
2019-03-31,Uttar Pradesh,6.5,93.07,59.94
2019-04-30,Uttar Pradesh,5.66,91.83,51.91
2019-05-31,Uttar Pradesh,6.78,92.17,57.96
2019-06-30,Uttar Pradesh,6.75,92.23,43.81
2019-07-31,Uttar Pradesh,6.74,90.44,41.31
2019-08-31,Uttar Pradesh,6.23,89.9,49.07
2019-09-30,Uttar Pradesh,4.12,93.88,51.19
2019-10-31,Uttar Pradesh,7.86,91.36,43.64
2019-11-30,Uttar Pradesh,5.36,91.42,48.17
2019-12-31,Uttar Pradesh,5.99,93.88,43.12
2020-01-31,Uttar Pradesh,7.71,92.16,44.44
2020-02-29,Uttar Pradesh,8.04,90.8,53.44
2020-03-31,Uttar Pradesh,6.25,90.49,44.76
2020-04-30,Uttar Pradesh,15.96,82.83,54.45
2020-05-31,Uttar Pradesh,20.4,76.26,44.1
2020-06-30,Uttar Pradesh,17.98,77.54,40.26
2020-07-31,Uttar Pradesh,11.44,86.45,57.85
2020-08-31,Uttar Pradesh,12.79,85.5,45.19
2020-09-30,Uttar Pradesh,10.73,86.15,48.19
2020-10-31,Uttar Pradesh,7.38,89.86,48.72
2020-11-30,Uttar Pradesh,6.98,89.2,42.8
2020-12-31,Uttar Pradesh,6.67,88.98,49.75
2021-01-31,Uttar Pradesh,6.88,90.99,40.45
2021-02-28,Uttar Pradesh,6.92,91.74,50.83
2021-03-31,Uttar Pradesh,5.42,93.88,56.7
2021-04-30,Uttar Pradesh,7.51,87.56,50.51
2021-05-31,Uttar Pradesh,6.23,93.68,58.29
2021-06-30,Uttar Pradesh,5.99,93.42,51.53
2021-07-31,Uttar Pradesh,7.18,89.56,56.59
2021-08-31,Uttar Pradesh,5.07,93.9,40.22
2021-09-30,Uttar Pradesh,7.03,89.97,53.3
2021-10-31,Uttar Pradesh,7.75,91.37,58.29
2021-11-30,Uttar Pradesh,4.93,92.48,40.94
2021-12-31,Uttar Pradesh,5.49,93.68,54.76
2022-01-31,Uttar Pradesh,6.96,91.82,47.79
2022-02-28,Uttar Pradesh,6.01,92.54,47.11
2022-03-31,Uttar Pradesh,5.79,91.37,49.52
2022-04-30,Uttar Pradesh,7.82,88.86,58.74
2022-05-31,Uttar Pradesh,5.91,93.93,45.25
2022-06-30,Uttar Pradesh,7.47,89.55,41.03
2022-07-31,Uttar Pradesh,9.33,89.0,55.42
2022-08-31,Uttar Pradesh,6.67,92.79,41.5
2022-09-30,Uttar Pradesh,6.74,89.82,48.7
2022-10-31,Uttar Pradesh,8.54,90.23,56.38
2022-11-30,Uttar Pradesh,7.4,91.24,51.8
2022-12-31,Uttar Pradesh,7.74,90.45,41.83
2019-01-31,West Bengal,9.94,87.35,57.46
2019-02-28,West Bengal,11.03,85.31,56.13
2019-03-31,West Bengal,12.54,83.21,44.99
2019-04-30,West Bengal,12.32,85.23,44.42
2019-05-31,West Bengal,12.07,87.76,53.95
2019-06-30,West Bengal,11.39,87.12,58.49
2019-07-31,West Bengal,12.38,83.39,46.38
2019-08-31,West Bengal,11.18,84.68,40.74
2019-09-30,West Bengal,9.85,89.55,41.54
2019-10-31,West Bengal,11.76,84.76,46.8
2019-11-30,West Bengal,10.99,87.43,50.79
2019-12-31,West Bengal,11.39,84.66,46.38
2020-01-31,West Bengal,12.12,84.8,44.66
2020-02-29,West Bengal,11.54,88.34,57.4
2020-03-31,West Bengal,11.97,84.04,59.96
2020-04-30,West Bengal,21.76,74.41,48.04
2020-05-31,West Bengal,23.53,71.54,55.37
2020-06-30,West Bengal,22.49,75.4,54.75
2020-07-31,West Bengal,15.91,82.65,45.93
2020-08-31,West Bengal,15.39,84.4,40.36
2020-09-30,West Bengal,17.27,79.33,44.37
2020-10-31,West Bengal,10.05,85.2,55.73
2020-11-30,West Bengal,11.09,84.51,58.89
2020-12-31,West Bengal,10.43,87.23,52.27
2021-01-31,West Bengal,12.42,85.01,44.61
2021-02-28,West Bengal,12.88,86.24,44.41
2021-03-31,West Bengal,11.81,86.44,41.16
2021-04-30,West Bengal,10.63,84.52,57.68
2021-05-31,West Bengal,10.88,85.33,53.92
2021-06-30,West Bengal,10.08,89.15,56.32
2021-07-31,West Bengal,10.55,86.76,51.86
2021-08-31,West Bengal,10.55,86.55,41.83
2021-09-30,West Bengal,10.89,88.46,57.77
2021-10-31,West Bengal,11.84,83.38,57.24
2021-11-30,West Bengal,11.8,85.45,41.74
2021-12-31,West Bengal,12.34,85.62,47.45
2022-01-31,West Bengal,12.14,85.38,41.62
2022-02-28,West Bengal,10.31,88.59,53.67
2022-03-31,West Bengal,7.78,89.26,56.49
2022-04-30,West Bengal,10.39,87.88,53.56
2022-05-31,West Bengal,9.62,85.99,55.95
2022-06-30,West Bengal,11.72,84.99,57.01
2022-07-31,West Bengal,11.66,84.15,53.95
2022-08-31,West Bengal,11.97,84.63,52.37
2022-09-30,West Bengal,10.61,84.99,57.44
2022-10-31,West Bengal,11.74,88.12,56.52
2022-11-30,West Bengal,10.89,85.4,43.22
2022-12-31,West Bengal,10.42,85.49,56.64
2019-01-31,Rajasthan,7.76,89.08,45.2
2019-02-28,Rajasthan,7.61,89.22,50.8
2019-03-31,Rajasthan,7.26,88.94,50.83
2019-04-30,Rajasthan,7.79,87.4,46.84
2019-05-31,Rajasthan,8.18,91.31,58.74
2019-06-30,Rajasthan,7.75,88.81,41.36
2019-07-31,Rajasthan,8.64,91.02,51.64
2019-08-31,Rajasthan,6.54,91.73,52.42
2019-09-30,Rajasthan,7.01,89.2,40.49
2019-10-31,Rajasthan,7.94,91.94,46.47
2019-11-30,Rajasthan,9.13,87.45,48.92
2019-12-31,Rajasthan,7.5,91.13,59.94
2020-01-31,Rajasthan,6.12,93.06,55.9
2020-02-29,Rajasthan,5.37,91.16,44.42
2020-03-31,Rajasthan,7.81,88.92,45.47
2020-04-30,Rajasthan,21.66,77.59,48.65
2020-05-31,Rajasthan,24.02,73.99,45.48
2020-06-30,Rajasthan,21.38,76.57,57.88
2020-07-31,Rajasthan,11.24,84.44,49.46
2020-08-31,Rajasthan,16.88,82.19,57.37
2020-09-30,Rajasthan,15.24,80.95,52.52
2020-10-31,Rajasthan,8.01,91.33,40.65
2020-11-30,Rajasthan,7.76,88.25,49.63
2020-12-31,Rajasthan,8.28,91.14,42.5
2021-01-31,Rajasthan,6.89,92.11,49.83
2021-02-28,Rajasthan,9.37,90.31,51.64
2021-03-31,Rajasthan,8.41,90.04,49.1
2021-04-30,Rajasthan,6.91,93.03,41.45
2021-05-31,Rajasthan,7.11,89.88,45.83
2021-06-30,Rajasthan,5.14,91.38,57.2
2021-07-31,Rajasthan,6.6,92.19,59.73
2021-08-31,Rajasthan,7.52,91.77,49.98
2021-09-30,Rajasthan,9.07,88.13,40.2
2021-10-31,Rajasthan,8.44,89.92,50.35
2021-11-30,Rajasthan,7.32,92.51,41.57
2021-12-31,Rajasthan,6.89,91.13,42.65
2022-01-31,Rajasthan,9.36,86.63,44.0
2022-02-28,Rajasthan,8.21,90.95,42.09
2022-03-31,Rajasthan,8.97,90.88,58.72
2022-04-30,Rajasthan,8.49,91.25,50.83
2022-05-31,Rajasthan,8.27,88.16,56.03
2022-06-30,Rajasthan,7.96,90.34,56.3
2022-07-31,Rajasthan,8.88,88.85,52.87
2022-08-31,Rajasthan,7.76,89.6,54.63
2022-09-30,Rajasthan,6.92,88.73,44.38
2022-10-31,Rajasthan,7.08,88.04,46.74
2022-11-30,Rajasthan,8.09,88.62,49.96
2022-12-31,Rajasthan,6.99,90.23,54.38
2019-01-31,Madhya Pradesh,3.93,92.67,41.44
2019-02-28,Madhya Pradesh,5.62,94.23,45.15
2019-03-31,Madhya Pradesh,6.15,90.22,54.85
2019-04-30,Madhya Pradesh,4.95,92.93,46.92
2019-05-31,Madhya Pradesh,3.49,92.88,49.73
2019-06-30,Madhya Pradesh,7.06,88.58,58.01
2019-07-31,Madhya Pradesh,3.42,93.62,58.25
2019-08-31,Madhya Pradesh,4.48,94.46,52.46
2019-09-30,Madhya Pradesh,6.43,92.91,54.32
2019-10-31,Madhya Pradesh,5.83,89.62,43.59
2019-11-30,Madhya Pradesh,5.38,92.16,44.94
2019-12-31,Madhya Pradesh,4.76,90.88,48.91
2020-01-31,Madhya Pradesh,2.82,94.21,43.27
2020-02-29,Madhya Pradesh,5.29,92.75,59.39
2020-03-31,Madhya Pradesh,5.86,92.51,55.47
2020-04-30,Madhya Pradesh,12.73,82.42,49.08
2020-05-31,Madhya Pradesh,12.61,83.24,48.62
2020-06-30,Madhya Pradesh,15.05,81.86,54.14
2020-07-31,Madhya Pradesh,10.57,87.06,56.88
2020-08-31,Madhya Pradesh,13.5,83.57,57.37
2020-09-30,Madhya Pradesh,9.55,90.16,50.62
2020-10-31,Madhya Pradesh,4.51,90.81,40.79
2020-11-30,Madhya Pradesh,4.93,90.41,46.32
2020-12-31,Madhya Pradesh,4.02,93.44,40.83
2021-01-31,Madhya Pradesh,5.2,90.46,49.09
2021-02-28,Madhya Pradesh,5.51,91.91,49.78
2021-03-31,Madhya Pradesh,4.18,95.67,46.16
2021-04-30,Madhya Pradesh,5.46,91.02,44.04
2021-05-31,Madhya Pradesh,5.33,92.45,57.36
2021-06-30,Madhya Pradesh,4.41,94.71,53.85
2021-07-31,Madhya Pradesh,5.03,91.89,57.38
2021-08-31,Madhya Pradesh,7.06,90.09,40.61
2021-09-30,Madhya Pradesh,5.25,91.36,44.31
2021-10-31,Madhya Pradesh,5.51,91.2,47.88
2021-11-30,Madhya Pradesh,4.28,92.43,59.99
2021-12-31,Madhya Pradesh,5.35,94.41,59.54
2022-01-31,Madhya Pradesh,6.06,90.03,51.34
2022-02-28,Madhya Pradesh,4.8,91.5,57.57
2022-03-31,Madhya Pradesh,3.37,93.29,56.16
2022-04-30,Madhya Pradesh,4.12,92.07,55.96
2022-05-31,Madhya Pradesh,6.35,93.05,50.89
2022-06-30,Madhya Pradesh,4.79,95.18,46.49
2022-07-31,Madhya Pradesh,3.78,92.74,47.77
2022-08-31,Madhya Pradesh,3.41,94.34,44.75
2022-09-30,Madhya Pradesh,3.76,95.87,52.07
2022-10-31,Madhya Pradesh,4.46,92.2,52.39
2022-11-30,Madhya Pradesh,2.81,92.88,50.38
2022-12-31,Madhya Pradesh,4.37,93.23,40.51
2019-01-31,Kerala,4.68,92.42,50.67
2019-02-28,Kerala,4.43,92.53,55.3
2019-03-31,Kerala,6.67,88.56,40.36
2019-04-30,Kerala,6.92,92.1,40.15
2019-05-31,Kerala,6.83,91.95,58.54
2019-06-30,Kerala,6.35,93.35,58.69
2019-07-31,Kerala,5.32,92.25,45.14
2019-08-31,Kerala,5.79,92.79,46.15
2019-09-30,Kerala,6.25,92.19,52.21
2019-10-31,Kerala,7.46,88.96,45.45
2019-11-30,Kerala,5.09,94.01,53.62
2019-12-31,Kerala,5.85,93.25,50.5
2020-01-31,Kerala,5.47,91.69,45.13
2020-02-29,Kerala,6.39,88.79,49.67
2020-03-31,Kerala,6.3,93.49,52.66
2020-04-30,Kerala,22.1,74.9,56.38
2020-05-31,Kerala,19.56,77.39,48.22
2020-06-30,Kerala,19.29,76.21,47.07
2020-07-31,Kerala,10.3,85.59,48.47
2020-08-31,Kerala,13.64,85.89,52.48
2020-09-30,Kerala,10.69,85.62,57.26
2020-10-31,Kerala,6.38,92.54,41.91
2020-11-30,Kerala,6.12,90.85,50.93
2020-12-31,Kerala,5.92,92.92,47.82
2021-01-31,Kerala,5.98,89.08,42.73
2021-02-28,Kerala,8.65,87.87,48.09
2021-03-31,Kerala,7.75,88.79,59.83
2021-04-30,Kerala,5.52,93.84,42.08
2021-05-31,Kerala,6.64,91.99,41.59
2021-06-30,Kerala,7.7,91.87,57.88
2021-07-31,Kerala,5.49,93.38,47.1
2021-08-31,Kerala,5.06,94.6,50.38
2021-09-30,Kerala,6.31,89.29,53.02
2021-10-31,Kerala,4.52,92.82,46.49
2021-11-30,Kerala,7.3,87.73,53.24
2021-12-31,Kerala,4.86,92.35,54.61
2022-01-31,Kerala,5.37,91.82,59.15
2022-02-28,Kerala,6.02,93.11,53.8
2022-03-31,Kerala,6.24,93.28,49.01
2022-04-30,Kerala,4.66,91.56,46.95
2022-05-31,Kerala,7.16,88.2,44.69
2022-06-30,Kerala,6.68,91.32,43.05
2022-07-31,Kerala,7.28,90.11,52.47
2022-08-31,Kerala,6.21,93.34,55.11
2022-09-30,Kerala,6.2,89.89,54.17
2022-10-31,Kerala,5.92,93.9,46.06
2022-11-30,Kerala,5.29,94.28,58.74
2022-12-31,Kerala,4.74,92.49,46.11
2019-01-31,Andhra Pradesh,8.73,88.69,58.39
2019-02-28,Andhra Pradesh,5.44,92.07,59.84
2019-03-31,Andhra Pradesh,6.19,89.16,42.33
2019-04-30,Andhra Pradesh,7.04,88.88,47.61
2019-05-31,Andhra Pradesh,7.14,91.34,41.62
2019-06-30,Andhra Pradesh,7.17,90.81,43.47
2019-07-31,Andhra Pradesh,5.54,89.59,52.82
2019-08-31,Andhra Pradesh,7.89,88.0,42.65
2019-09-30,Andhra Pradesh,9.04,87.14,43.5
2019-10-31,Andhra Pradesh,6.27,91.21,47.97
2019-11-30,Andhra Pradesh,6.2,93.46,40.52
2019-12-31,Andhra Pradesh,5.58,93.74,59.26
2020-01-31,Andhra Pradesh,7.08,90.76,46.24
2020-02-29,Andhra Pradesh,6.63,90.84,48.79
2020-03-31,Andhra Pradesh,6.86,92.06,52.39
2020-04-30,Andhra Pradesh,18.33,80.91,41.23
2020-05-31,Andhra Pradesh,19.35,75.68,41.16
2020-06-30,Andhra Pradesh,19.38,75.71,44.78
2020-07-31,Andhra Pradesh,10.77,88.72,53.84
2020-08-31,Andhra Pradesh,10.12,87.34,59.93
2020-09-30,Andhra Pradesh,12.29,84.59,50.54
2020-10-31,Andhra Pradesh,7.49,90.38,42.61
2020-11-30,Andhra Pradesh,6.44,92.58,47.36
2020-12-31,Andhra Pradesh,7.56,90.37,56.55
2021-01-31,Andhra Pradesh,7.45,92.49,48.32
2021-02-28,Andhra Pradesh,7.34,90.26,40.38
2021-03-31,Andhra Pradesh,7.44,91.88,50.71
2021-04-30,Andhra Pradesh,5.78,93.15,40.24
2021-05-31,Andhra Pradesh,5.58,91.68,49.09
2021-06-30,Andhra Pradesh,6.54,89.24,41.96
2021-07-31,Andhra Pradesh,5.38,93.0,54.75
2021-08-31,Andhra Pradesh,6.53,91.09,47.52
2021-09-30,Andhra Pradesh,5.7,90.38,57.84
2021-10-31,Andhra Pradesh,4.3,90.93,55.74
2021-11-30,Andhra Pradesh,7.72,90.1,45.09
2021-12-31,Andhra Pradesh,5.45,90.34,40.77
2022-01-31,Andhra Pradesh,6.48,90.33,53.19
2022-02-28,Andhra Pradesh,7.49,88.03,52.73
2022-03-31,Andhra Pradesh,5.93,91.48,43.0
2022-04-30,Andhra Pradesh,6.74,89.57,50.24
2022-05-31,Andhra Pradesh,6.34,93.23,54.33
2022-06-30,Andhra Pradesh,6.66,92.98,41.43
2022-07-31,Andhra Pradesh,5.77,92.75,46.99
2022-08-31,Andhra Pradesh,7.87,88.26,53.23
2022-09-30,Andhra Pradesh,6.12,93.39,53.21
2022-10-31,Andhra Pradesh,6.14,90.04,45.3
2022-11-30,Andhra Pradesh,7.18,90.91,44.11
2022-12-31,Andhra Pradesh,7.88,91.51,52.3
